date,ticker,close,weight,kinetic_energy,efficiency,leverage_mult,market_state,decision_reason,nifty_vol,fwd_return,net_pnl,structure_tag,meta_scale,capital_scale,adaptive_scale,genome_scale,family_scale,drift_scale
2021-08-27,TCS.NS,3720.15,0.27033338487929254,0.008048537643940904,1.0,1.5,BULL_TURBO,Turbo (High Energy),0.1340999984741211,0.032767495934303746,885.8148089938788,VACUUM,1.0,0.9011112829309752,1.5,1.0,1.0,1.0
2021-08-27,KPITTECH.NS,335.15,0.27033338487929254,0.007528597433534846,1.0,1.5,BULL_TURBO,Turbo (High Energy),0.1340999984741211,-0.01626137550350586,-439.5992682655949,VACUUM,1.0,0.9011112829309752,1.5,1.0,1.0,1.0
2021-08-27,HAL.NS,690.7,0.27033338487929254,0.007423941130628003,1.0,1.5,BULL_TURBO,Turbo (High Energy),0.1340999984741211,0.009526567250615212,257.53491711390257,VACUUM,1.0,0.9011112829309752,1.5,1.0,1.0,1.0
2021-08-27,BAJFINANCE.NS,696.66,0.27033338487929254,0.005889224177275684,1.0,1.5,BULL_TURBO,Turbo (High Energy),0.1340999984741211,0.07992420980105082,2160.6182169320796,VACUUM,1.0,0.9011112829309752,1.5,1.0,1.0,1.0
2021-08-27,HDFCBANK.NS,774.23,0.27033338487929254,0.0044162613070060815,1.0,1.5,BULL_TURBO,Turbo (High Energy),0.1340999984741211,0.01782416077909659,481.84657160459096,VACUUM,1.0,0.9011112829309752,1.5,1.0,1.0,1.0
2021-09-03,HAL.NS,697.28,0.21565211275677654,0.01585773100661064,1.0,1.5,BULL_TURBO,Turbo (High Energy),0.14539999961853028,0.007672670949977087,165.46277008501025,VACUUM,1.0,0.7188403758559219,1.5,1.0,1.0,1.0
2021-09-03,BAJFINANCE.NS,752.34,0.21565211275677654,0.011647465440013877,1.0,1.5,BULL_TURBO,Turbo (High Energy),0.14539999961853028,-0.010341069197437443,-223.00734205914083,VACUUM,1.0,0.7188403758559219,1.5,1.0,1.0,1.0
2021-09-03,TCS.NS,3842.05,0.21565211275677654,0.008102065939054331,1.0,1.5,BULL_TURBO,Turbo (High Energy),0.14539999961853028,0.000858916463866875,18.52271501144711,VACUUM,1.0,0.7188403758559219,1.5,1.0,1.0,1.0
2021-09-03,RELIANCE.NS,1084.21,0.21565211275677654,0.00538166349885652,1.0,1.5,BULL_TURBO,Turbo (High Energy),0.14539999961853028,-0.007092721889670871,-152.95604607037598,VACUUM,1.0,0.7188403758559219,1.5,1.0,1.0,1.0
2021-09-03,ASIANPAINT.NS,3338.8,0.21565211275677654,0.005177373976837778,1.0,1.5,BULL_TURBO,Turbo (High Energy),0.14539999961853028,0.008461123757038457,182.4659214501898,VACUUM,1.0,0.7188403758559219,1.5,1.0,1.0,1.0
2021-09-17,HAL.NS,715.3,0.20137508077038213,0.010949252535561851,1.0,1.5,BULL_TURBO,Turbo (High Energy),0.15229999542236328,-0.062351460925485686,-1255.6030480021006,VACUUM,1.0,0.6712502692346072,1.5,1.0,1.0,1.0
2021-09-17,TITAN.NS,2095.6,0.20137508077038213,0.007644729554341268,1.0,1.5,BULL_TURBO,Turbo (High Energy),0.15229999542236328,-0.0012884138194311024,-25.945443695361476,VACUUM,1.0,0.6712502692346072,1.5,1.0,1.0,1.0
2021-09-17,ANGELONE.NS,1298.4,0.20137508077038213,0.007449227054919957,1.0,1.5,BULL_TURBO,Turbo (High Energy),0.15229999542236328,-0.03454251386321637,-695.6001519217242,VACUUM,1.0,0.6712502692346072,1.5,1.0,1.0,1.0
2021-09-24,ITC.NS,199.46,0.19824966461913515,0.00903535000106029,1.0,1.5,BULL_TURBO,Turbo (High Energy),0.16920000076293945,-0.012985059661084946,-257.4283722869551,VACUUM,1.0,0.6608322153971171,1.5,1.0,1.0,1.0
2021-09-24,TITAN.NS,2092.9,0.19824966461913515,0.006587656493525657,1.0,1.5,BULL_TURBO,Turbo (High Energy),0.16920000076293945,0.033852549094557746,671.125650449888,VACUUM,1.0,0.6608322153971171,1.5,1.0,1.0,1.0
2021-09-24,NTPC.NS,124.25,0.19824966461913515,0.005420938264577254,1.0,1.5,BULL_TURBO,Turbo (High Energy),0.16920000076293945,0.12595573440643867,2497.068210293333,VACUUM,1.0,0.6608322153971171,1.5,1.0,1.0,1.0
2021-10-01,NTPC.NS,139.9,0.1979890079750705,0.010049089021051637,1.0,1.5,BULL_TURBO,Turbo (High Energy),0.17209999084472657,0.008577555396711855,169.82616838461922,VACUUM,1.0,0.6599633599169017,1.5,1.0,1.0,1.0
2021-10-01,ITC.NS,196.87,0.1979890079750705,0.008261367575469847,1.0,1.5,BULL_TURBO,Turbo (High Energy),0.17209999084472657,-0.01549245695128771,-306.7336182881939,VACUUM,1.0,0.6599633599169017,1.5,1.0,1.0,1.0
2021-10-01,ANGELONE.NS,1439.25,0.1979890079750705,0.004661467137962809,1.0,1.5,BULL_TURBO,Turbo (High Energy),0.17209999084472657,-0.04387701928087552,-868.7167520323585,VACUUM,1.0,0.6599633599169017,1.5,1.0,1.0,1.0
2021-10-01,POWERGRID.NS,143.89,0.1979890079750705,0.004258033108337661,1.0,1.5,BULL_TURBO,Turbo (High Energy),0.17209999084472657,-0.021613732712488606,-427.9281498383948,VACUUM,1.0,0.6599633599169017,1.5,1.0,1.0,1.0
2021-10-01,TITAN.NS,2163.75,0.1979890079750705,0.0035624379672845063,1.0,1.5,BULL_TURBO,Turbo (High Energy),0.17209999084472657,0.0898671288272674,1779.2703686078535,VACUUM,1.0,0.6599633599169017,1.5,1.0,1.0,1.0
2021-10-08,NTPC.NS,141.1,0.18730505302142475,0.01230330252569516,1.0,1.5,BULL_TURBO,Turbo (High Energy),0.15649999618530275,0.05988660524450756,1121.7063770595623,VACUUM,1.0,0.6243501767380826,1.5,1.0,1.0,1.0
2021-10-08,MCX.NS,384.51,0.18730505302142475,0.0053951946251118545,1.0,1.5,BULL_TURBO,Turbo (High Energy),0.15649999618530275,0.028971938311097206,542.659044149351,VACUUM,1.0,0.6243501767380826,1.5,1.0,1.0,1.0
2021-10-08,TITAN.NS,2358.2,0.18730505302142475,0.005363090204683823,1.0,1.5,BULL_TURBO,Turbo (High Energy),0.15649999618530275,0.09778644729030633,1831.5895694487583,VACUUM,1.0,0.6243501767380826,1.5,1.0,1.0,1.0
2021-10-08,RELIANCE.NS,1212.56,0.18730505302142475,0.005218505648530459,1.0,1.5,BULL_TURBO,Turbo (High Energy),0.15649999618530275,0.013607574058190935,254.8767380462417,VACUUM,1.0,0.6243501767380826,1.5,1.0,1.0,1.0
2021-10-08,ANGELONE.NS,1376.1,0.18730505302142475,0.005218300227808375,1.0,1.5,BULL_TURBO,Turbo (High Energy),0.15649999618530275,0.158055373882712,2960.4570185422485,VACUUM,1.0,0.6243501767380826,1.5,1.0,1.0,1.0
2021-10-22,TITAN.NS,2412.0,0.19537723964289835,0.010469361541850419,1.0,1.5,BULL_TURBO,Turbo (High Energy),0.17549999237060546,-0.011795190713101086,-230.45118025872398,VACUUM,1.0,0.6512574654763279,1.5,1.0,1.0,1.0
2021-10-22,BSE.NS,146.54,0.19537723964289835,0.008022938625717655,1.0,1.5,BULL_TURBO,Turbo (High Energy),0.17549999237060546,0.004026204449297144,78.66287115416317,VACUUM,1.0,0.6512574654763279,1.5,1.0,1.0,1.0
2021-10-22,NTPC.NS,144.9,0.19537723964289835,0.007242089427650199,1.0,1.5,BULL_TURBO,Turbo (High Energy),0.17549999237060546,-0.08454106280193237,-1651.739948671846,VACUUM,1.0,0.6512574654763279,1.5,1.0,1.0,1.0
2021-10-29,ICICIBANK.NS,802.05,0.17189615321507512,0.00977229836420552,1.0,1.5,BULL_TURBO,Turbo (High Energy),0.1743000030517578,-0.02730503085842526,-469.36297679822223,VACUUM,1.0,0.5729871773835837,1.5,1.0,1.0,1.0
2021-10-29,SBIN.NS,502.15,0.17189615321507512,0.006818852648168455,1.0,1.5,BULL_TURBO,Turbo (High Energy),0.1743000030517578,0.04201931693717022,722.2958942224612,VACUUM,1.0,0.5729871773835837,1.5,1.0,1.0,1.0
2021-10-29,TITAN.NS,2383.55,0.17189615321507512,0.005633340414261657,1.0,1.5,BULL_TURBO,Turbo (High Energy),0.1743000030517578,0.06427387719997475,1104.8432242893782,VACUUM,1.0,0.5729871773835837,1.5,1.0,1.0,1.0
2021-10-29,BSE.NS,147.13,0.17189615321507512,0.003538314315364846,1.0,1.5,BULL_TURBO,Turbo (High Energy),0.1743000030517578,0.05709236729422963,981.3958315820241,VACUUM,1.0,0.5729871773835837,1.5,1.0,1.0,1.0
2021-11-12,KPITTECH.NS,429.65,0.21916889788319238,0.008930089671101385,1.0,1.5,BULL_TURBO,Turbo (High Energy),0.15220000267028808,0.003374839986035251,73.96599602714743,VACUUM,1.0,0.7305629929439745,1.5,1.0,1.0,1.0
2021-11-12,CDSL.NS,742.5,0.21916889788319238,0.003512048083140484,1.0,1.5,BULL_TURBO,Turbo (High Energy),0.15220000267028808,-0.03538047138047136,-775.4298919045738,VACUUM,1.0,0.7305629929439745,1.5,1.0,1.0,1.0
2021-11-12,SBIN.NS,511.35,0.21916889788319238,0.0035101604877849856,1.0,1.5,BULL_TURBO,Turbo (High Energy),0.15220000267028808,-0.04879241224210432,-1069.3779216164387,VACUUM,1.0,0.7305629929439745,1.5,1.0,1.0,1.0
2021-11-12,ICICIBANK.NS,776.6,0.21916889788319238,0.0031000976513679535,1.0,1.5,BULL_TURBO,Turbo (High Energy),0.15220000267028808,-0.03167653875869176,-694.25120884967,VACUUM,1.0,0.7305629929439745,1.5,1.0,1.0,1.0
2021-11-12,BSE.NS,157.48,0.1461125985887949,0.0012219491604274543,1.0,1.0,BULL_TURBO,Standard Entry,0.15220000267028808,0.08248666497333002,1205.2340968176577,VACUUM,1.0,0.7305629929439745,1.0,1.0,1.0,1.0
2021-11-26,KPITTECH.NS,463.4,0.12983007235668695,0.023726701500411652,1.0,1.5,BULL_TURBO,Turbo (High Energy),0.20799999237060546,0.07434182132067339,965.1804041190918,VACUUM,1.0,0.43276690785562316,1.5,1.0,1.0,1.0
2021-11-26,BSE.NS,168.71,0.12983007235668695,0.0103162652821282,1.0,1.5,BULL_TURBO,Turbo (High Energy),0.20799999237060546,0.23655977713235726,3071.2572981775684,VACUUM,1.0,0.43276690785562316,1.5,1.0,1.0,1.0
2021-11-26,ADANIENT.NS,1618.6,0.12983007235668695,0.010132075132334979,1.0,1.5,BULL_TURBO,Turbo (High Energy),0.20799999237060546,0.02309403187940202,299.82998299103997,VACUUM,1.0,0.43276690785562316,1.5,1.0,1.0,1.0
2021-11-26,POWERGRID.NS,151.5,0.12983007235668695,0.004390645069335639,1.0,1.5,BULL_TURBO,Turbo (High Energy),0.20799999237060546,0.020330033003300413,263.94496558323266,VACUUM,1.0,0.43276690785562316,1.5,1.0,1.0,1.0
